Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
17/02/2007,23:41:15:72,-54.157632,-38.348897,20,8.342844,0.22,-0.01,6,6,(rownum 235)
17/02/2007,23:56:38:688,-54.161279,-38.348329,20,18.793744,-0.21,-0.22,8,8,(rownum 236)
18/02/2007,00:11:01:824,-54.168752,-38.347664,20,23.500939,-0.16,-0.38,7,7,(rownum 237)
18/02/2007,00:26:28:32,-54.173321,-38.342404,20,14.439462,1.18,0.8,8,8,(rownum 238)
18/02/2007,00:44:32:352,-54.181357,-38.336296,20,22.411951,-0.83,-0.03,8,8,(rownum 240)
18/02/2007,01:00:15:840,-54.182797,-38.333726,20,15.943299,-0.52,-0.55,8,8,(rownum 241)
18/02/2007,01:30:23:328,-54.184283,-38.326706,20,14.41699,0.5,-0.05,8,8,(rownum 243)
18/02/2007,01:45:52:128,-54.186297,-38.322997,20,14.918483,0.3,0.25,8,8,(rownum 244)
18/02/2007,02:00:31:680,-54.189631,-38.319547,20,20.507415,-0.77,-0.52,8,8,(rownum 245)
18/02/2007,02:33:00:0,-54.200277,-38.302605,20,24.868334,1.14,0.62,8,8,(rownum 248)
18/02/2007,02:50:09:888,-54.207936,-38.292927,20,24.135457,-0.96,-0.34,8,8,(rownum 250)
18/02/2007,03:06:38:304,-54.210802,-38.295521,20,26.484149,0.38,0.04,7,7,(rownum 252)
18/02/2007,03:22:03:648,-54.206243,-38.298309,20,15.86015,0.04,0.08,8,8,(rownum 254)
18/02/2007,03:37:03:936,-54.203285,-38.300171,20,20.568046,-0.81,-0.73,8,8,(rownum 255)
18/02/2007,03:55:03:936,-54.19957,-38.302003,20,12.052551,0.54,-0.19,8,8,(rownum 259)
18/02/2007,04:11:01:248,-54.196238,-38.303011,20,18.817826,0.55,0.36,7,7,(rownum 261)
18/02/2007,04:26:06:720,-54.192744,-38.30468,20,17.801364,-1.09,-0.73,8,8,(rownum 262)
18/02/2007,04:43:03:648,-54.188193,-38.305115,20,16.727545,0.75,0.02,6,6,(rownum 265)
18/02/2007,04:58:05:664,-54.186349,-38.304189,20,23.474109,-0.66,-0.64,8,8,(rownum 266)
18/02/2007,05:14:02:112,-54.181687,-38.302831,20,8.462683,0.47,-0.17,6,6,(rownum 268)
18/02/2007,05:32:33:216,-54.178459,-38.301763,20,16.732948,0.02,-0.15,8,8,(rownum 272)
18/02/2007,05:48:01:152,-54.175508,-38.301383,20,7.623744,-0.03,-0.15,5,5,(rownum 274)
18/02/2007,06:09:06:48,-54.172495,-38.290331,20,15.562785,0.18,0.03,8,8,(rownum 278)
18/02/2007,06:49:12:288,-54.165481,-38.289038,20,15.418715,-0.05,-0.02,8,8,(rownum 282)
18/02/2007,07:04:04:800,-54.161438,-38.296112,20,19.730215,-0.79,-0.81,7,7,(rownum 283)
18/02/2007,07:34:13:152,-54.145222,-38.310598,20,1.652204,1.06,-0.81,4,4,(rownum 285)
18/02/2007,07:49:04:800,-54.13603,-38.315128,20,10.166141,0.65,-0.81,5,5,(rownum 286)
18/02/2007,08:04:17:184,-54.129339,-38.318757,20,11.233593,0.52,-0.29,6,6,(rownum 287)
18/02/2007,08:19:06:240,-54.121253,-38.323397,20,6.373916,0.71,0.42,7,7,(rownum 288)
18/02/2007,08:35:00:96,-54.115108,-38.329463,20,12.354806,-0.69,-0.27,7,7,(rownum 289)
18/02/2007,09:07:05:88,-54.115807,-38.320317,20,15.415066,0.79,0.52,7,7,(rownum 294)
18/02/2007,09:23:02:400,-54.1175,-38.319242,20,8.845539,-0.58,-0.06,8,8,(rownum 296)
18/02/2007,09:56:02:688,-54.115224,-38.318752,20,23.065733,0.06,0,8,8,(rownum 301)
18/02/2007,10:11:39:264,-54.111994,-38.319473,20,7.474454,0.35,0.35,6,6,(rownum 302)
18/02/2007,10:26:22:272,-54.111397,-38.322062,20,14.957156,-0.55,-0.2,6,6,(rownum 303)
18/02/2007,10:58:04:800,-54.10865,-38.318066,20,14.170816,-0.75,-0.95,8,8,(rownum 307)
18/02/2007,11:14:02:976,-54.107878,-38.320833,20,19.661499,0.56,-0.39,7,7,(rownum 309)
18/02/2007,11:32:19:392,-54.104235,-38.325801,20,22.83541,0.15,-0.24,8,8,(rownum 313)
18/02/2007,12:06:02:880,-54.099545,-38.333915,20,23.303356,-0.48,-0.72,6,6,(rownum 319)
18/02/2007,12:21:08:352,-54.097201,-38.333659,20,18.430434,0.17,-0.55,8,8,(rownum 320)
18/02/2007,12:37:28:992,-54.092051,-38.325987,20,0.863887,-0.35,-0.55,4,4,(rownum 322)
18/02/2007,12:52:12:864,-54.092585,-38.329949,20,1.161969,0.09,-0.55,4,4,(rownum 323)
18/02/2007,13:08:29:184,-54.09165,-38.330403,20,0.360827,1.03,-0.55,4,4,(rownum 325)
18/02/2007,13:23:07:8,-54.090834,-38.331306,20,4.308248,0.28,-0.27,7,7,(rownum 326)
18/02/2007,13:40:05:664,-54.090241,-38.326155,20,4.029739,-0.69,-0.27,5,5,(rownum 329)
18/02/2007,13:54:59:904,-54.090763,-38.333795,20,0.54462,-1.29,-0.27,4,4,(rownum 330)
18/02/2007,14:29:17:88,-54.091313,-38.336437,20,19.916203,0.82,0.55,8,8,(rownum 336)
18/02/2007,14:47:04:992,-54.091923,-38.343492,20,22.681396,-0.97,-0.42,8,8,(rownum 340)
18/02/2007,15:02:01:824,-54.091447,-38.34828,20,10.759826,-0.41,-0.42,5,6,(rownum 341)
18/02/2007,15:20:08:736,-54.091811,-38.354427,20,19.438201,-0.14,-0.56,7,7,(rownum 345)
18/02/2007,15:36:00:864,-54.092103,-38.359151,20,15.698933,0.32,-0.24,7,7,(rownum 347)
18/02/2007,16:21:04:320,-54.09845,-38.364159,20,1.172378,-0.37,-0.24,4,4,(rownum 351)
18/02/2007,16:54:02:16,-54.105196,-38.360716,20,18.025698,0.79,0.55,8,8,(rownum 356)
18/02/2007,17:11:11:40,-54.109516,-38.35206,20,10.166199,-0.89,-0.34,6,6,(rownum 359)
18/02/2007,17:28:01:56,-54.108854,-38.341261,20,7.305228,0.35,-0.34,5,5,(rownum 362)
18/02/2007,17:46:33:888,-54.113617,-38.339271,20,15.114816,-0.55,-0.89,8,8,(rownum 366)
18/02/2007,18:01:15:168,-54.117106,-38.336342,20,26.304029,0.54,-0.35,6,7,(rownum 367)
18/02/2007,18:19:04:800,-54.120241,-38.334237,20,4.111344,-0.31,-0.66,7,7,(rownum 371)
18/02/2007,18:35:09:888,-54.124429,-38.33136,20,19.353852,-0.11,-0.77,6,7,(rownum 373)
18/02/2007,18:50:15:360,-54.126692,-38.328888,20,5.550393,0.7,-0.77,5,5,(rownum 374)
18/02/2007,19:05:00:96,-54.129989,-38.330402,20,0.385183,0.92,-0.77,4,4,(rownum 375)
18/02/2007,19:35:06:720,-54.135334,-38.32804,20,17.690202,0.51,-0.26,7,7,(rownum 377)
18/02/2007,20:11:00:672,-54.140369,-38.321963,20,0.127814,0.07,-0.26,4,5,(rownum 384)
