Date,Time,Latitute,Longitude,Temperature,Nav State,Altitude,N Velocity,E Velocity,D Velocity,PDOP,SV Count
27/03/2006,17:39:29,-54.01095942,-38.05443607,18.25,3,162,0,0,0,1000,0
27/03/2006,17:39:59,-54.01073965,-38.0537518,18.25,1,162,0,0,0,5,5
27/03/2006,17:40:29,-54.0149756,-38.05704967,18.25,3,162,0,0,0,30,4
27/03/2006,17:40:59,-54.01068827,-38.05416695,18.5,1,162,0,0,0,19,5
27/03/2006,17:41:29,-54.01452995,-38.05716978,18.5,3,162,0,0,0,34,4
27/03/2006,17:41:59,-54.01095942,-38.05443607,18.75,3,162,0,0,0,1000,1
27/03/2006,17:42:29,-54.01494288,-38.05741542,18.5,3,162,0,0,0,36,4
27/03/2006,17:42:59,-54.01509683,-38.05626256,18.5,3,162,0,0,0,2378,3
27/03/2006,17:43:29,-54.01414964,-38.05662459,18.5,3,162,0,0,0,35,4
27/03/2006,17:43:59,-54.01095942,-38.05443607,18.5,3,162,0,0,0,1000,0
27/03/2006,17:44:29,-54.01109058,-38.05425542,18.25,0,76,0,0,0,2,6
27/03/2006,17:44:59,-54.00990494,-38.05465069,18.25,0,260,0,0,0,5,5
27/03/2006,17:45:29,-54.0107818,-38.05488675,18.25,0,38,0,0,0,5,4
27/03/2006,17:45:59,-54.01018893,-38.05617586,18,1,38,0,0,0,7,5
27/03/2006,17:46:29,-54.01171463,-38.05441272,17.5,1,38,0,0,0,7,4
27/03/2006,17:46:59,-54.01201117,-38.05436421,17.25,1,44,0,0,0,7,5
27/03/2006,17:47:29,-54.01592044,-38.04925676,17.25,3,38,0,0,0,255,3
27/03/2006,17:47:59,-54.01110538,-38.0545882,16.75,3,38,0,0,0,41,4
27/03/2006,17:48:29,-54.01081955,-38.05515258,16.5,1,38,0,0,0,7,5
27/03/2006,17:48:59,-54.0115308,-38.05451927,16.25,1,38,0,0,0,7,5
27/03/2006,17:49:29,-54.01194293,-38.05300773,16.25,1,38,0,0,0,9,4
27/03/2006,17:49:59,-54.01144377,-38.05446132,16,1,34,0,0,0,7,5
27/03/2006,17:50:29,-54.01165712,-38.05358196,16,1,38,0,0,0,11,4
27/03/2006,17:50:59,-54.0107818,-38.05488675,15.75,3,38,0,0,0,1000,0
27/03/2006,17:51:29,-54.01119287,-38.05399871,15.5,1,38,0,0,0,11,4
27/03/2006,17:51:59,-54.0107818,-38.05488675,15.25,3,38,0,0,0,1000,0
27/03/2006,17:52:29,-54.0107818,-38.05488675,15.5,3,38,0,0,0,1000,0
27/03/2006,17:52:59,-54.01249197,-38.05430544,15,1,38,0,0,0,10,4
27/03/2006,17:53:29,-54.01227027,-38.05380187,15,1,38,0,0,0,13,4
27/03/2006,17:53:59,-54.0107818,-38.05488675,15,3,38,0,0,0,1000,0
27/03/2006,17:54:29,-54.0107818,-38.05488675,15,3,38,0,0,0,1000,0
27/03/2006,17:54:59,-54.01090701,-38.05414913,14.75,1,38,0,0,0,12,4
27/03/2006,17:55:29,-54.0107818,-38.05488675,15,3,38,0,0,0,1000,0
27/03/2006,17:55:59,-54.0107818,-38.05488675,14.75,3,38,0,0,0,1000,0
27/03/2006,17:56:29,-54.0107818,-38.05488675,14.75,3,38,0,0,0,1000,0
27/03/2006,17:56:59,-54.0107818,-38.05488675,14.5,3,38,0,0,0,1000,0
27/03/2006,17:57:29,-54.0119585,-38.05383136,14.5,1,38,0,0,0,15,4
27/03/2006,17:57:59,-54.0122612,-38.05375602,14.75,1,38,0,0,0,13,4
27/03/2006,17:58:29,-54.00960477,-38.05446967,14.5,1,38,0,0,0,12,4
27/03/2006,17:58:59,-54.00962364,-38.05577179,14.5,1,38,0,0,0,16,4
27/03/2006,17:59:29,-54.01134653,-38.05485769,14.25,1,38,0,0,0,16,4
27/03/2006,17:59:59,-54.0107818,-38.05488675,14.5,3,38,0,0,0,1000,0
27/03/2006,18:00:29,-54.01016032,-38.05497015,14.25,1,38,0,0,0,12,4
27/03/2006,18:00:59,-54.01132079,-38.05337731,14,3,38,0,0,0,108,3
27/03/2006,18:01:29,-54.0107818,-38.05488675,14.5,3,38,0,0,0,1000,0
27/03/2006,18:01:59,-54.01097263,-38.05450699,14.25,1,38,0,0,0,17,4
27/03/2006,18:02:29,-54.01071434,-38.0544913,13.75,1,38,0,0,0,17,4
27/03/2006,18:02:59,-54.0107818,-38.05488675,14,3,38,0,0,0,1000,0
27/03/2006,18:03:29,-54.0107818,-38.05488675,14,3,38,0,0,0,1000,0
27/03/2006,18:03:59,-54.0107818,-38.05488675,14,3,38,0,0,0,1000,0
27/03/2006,18:04:29,-54.0107818,-38.05488675,14,3,38,0,0,0,1000,0
27/03/2006,18:04:59,-54.0107818,-38.05488675,14,3,38,0,0,0,1000,0
27/03/2006,18:05:29,-54.00977598,-38.05477665,13.75,1,39,0,0,0,15,4
27/03/2006,18:05:59,-54.01057638,-38.05535904,14,1,18,0,0,0,19,4
27/03/2006,18:06:29,-54.01199533,-38.05403884,14,1,38,0,0,0,19,4
27/03/2006,18:06:59,-54.01090174,-38.05413973,13.5,1,38,0,0,0,6,5
27/03/2006,18:07:29,-54.0107818,-38.05488675,13.5,3,38,0,0,0,1000,2
27/03/2006,18:07:59,-54.01173717,-38.054319,13.5,1,38,0,0,0,7,5
27/03/2006,18:08:29,-54.0104904,-38.05506578,13.5,1,38,0,0,0,20,4
27/03/2006,18:08:59,-54.0120173,-38.05449745,13.25,1,38,0,0,0,21,4
27/03/2006,18:09:29,-54.01229879,-38.0542016,13.25,1,38,0,0,0,21,4
27/03/2006,18:09:59,-54.01040445,-38.0560018,13.25,1,38,0,0,0,21,4
27/03/2006,18:10:29,-54.01272583,-38.05386491,13.25,1,38,0,0,0,21,4
27/03/2006,18:10:59,-54.01161324,-38.0544933,13.25,3,38,0,0,0,61,3
27/03/2006,18:11:29,-54.00968368,-38.05538715,13,1,38,0,0,0,17,4
27/03/2006,18:11:59,-54.0116032,-38.05429739,12.75,1,38,0,0,0,15,5
27/03/2006,18:12:29,-54.01202729,-38.05484403,13.25,1,38,0,0,0,7,5
27/03/2006,18:12:59,-54.01138219,-38.0544304,12.75,1,38,0,0,0,8,5
27/03/2006,18:13:29,-54.01072578,-38.05513594,12.75,1,38,0,0,0,8,5
27/03/2006,18:13:59,-54.01130195,-38.05454589,12.75,3,38,0,0,0,54,3
27/03/2006,18:14:29,-54.01101157,-38.05555265,12.75,1,38,0,0,0,23,4
27/03/2006,18:14:59,-54.00836827,-38.05478821,12.5,1,38,0,0,0,16,4
27/03/2006,18:15:29,-54.0107818,-38.05488675,12.5,3,38,0,0,0,1000,0
27/03/2006,18:15:59,-54.0107818,-38.05488675,12.5,3,38,0,0,0,1000,0
27/03/2006,18:16:29,-54.0107818,-38.05488675,12.5,3,38,0,0,0,1000,0
27/03/2006,18:16:59,-54.0107818,-38.05488675,12,3,38,0,0,0,1000,0
27/03/2006,18:17:29,-54.0107818,-38.05488675,11.75,3,38,0,0,0,1000,0
27/03/2006,18:17:59,-54.0107818,-38.05488675,11.5,3,38,0,0,0,1000,0
27/03/2006,18:18:29,-54.0107818,-38.05488675,11,3,38,0,0,0,1000,0
27/03/2006,18:18:59,-54.0107818,-38.05488675,10.25,3,38,0,0,0,1000,0
27/03/2006,18:19:29,-54.0107818,-38.05488675,9.5,3,38,0,0,0,1000,0
27/03/2006,18:19:59,-54.0107818,-38.05488675,9.5,3,38,0,0,0,1000,0
27/03/2006,18:20:29,-54.0107818,-38.05488675,8.75,3,38,0,0,0,1000,0
27/03/2006,18:20:59,-54.0107818,-38.05488675,8.5,3,38,0,0,0,1000,0
27/03/2006,18:21:29,-54.0107818,-38.05488675,7.5,3,38,0,0,0,1000,0
27/03/2006,18:21:59,-54.0107818,-38.05488675,7.5,3,38,0,0,0,1000,0
27/03/2006,18:22:29,-54.0107818,-38.05488675,6.75,3,38,0,0,0,1000,0
27/03/2006,18:22:59,-54.0107818,-38.05488675,6.5,3,38,0,0,0,1000,0
27/03/2006,18:23:29,-54.0107818,-38.05488675,6.5,3,38,0,0,0,1000,0
27/03/2006,18:23:59,-54.0107818,-38.05488675,6.25,3,38,0,0,0,1000,0
27/03/2006,18:24:29,-54.0107818,-38.05488675,6,3,38,0,0,0,1000,0
27/03/2006,18:24:59,-54.0107818,-38.05488675,5.75,3,38,0,0,0,1000,0
27/03/2006,18:25:29,-54.0107818,-38.05488675,5.25,3,38,0,0,0,1000,0
27/03/2006,18:25:59,-54.0107818,-38.05488675,5.25,3,38,0,0,0,1000,0
27/03/2006,18:26:29,-54.0107818,-38.05488675,5.25,3,38,0,0,0,1000,0
27/03/2006,18:26:59,-54.0107818,-38.05488675,4.75,3,38,0,0,0,1000,0
27/03/2006,18:27:29,-54.0107818,-38.05488675,4.5,3,38,0,0,0,1000,2
27/03/2006,18:27:59,-54.0107818,-38.05488675,4.75,3,38,0,0,0,1000,0
27/03/2006,18:28:29,-54.0107818,-38.05488675,4.5,3,38,0,0,0,1000,0
27/03/2006,18:28:59,-54.0107818,-38.05488675,4.5,3,38,0,0,0,1000,0
27/03/2006,18:29:29,-54.0107818,-38.05488675,4.25,3,38,0,0,0,1000,0
27/03/2006,18:29:59,-54.0107818,-38.05488675,4.25,3,38,0,0,0,1000,0
27/03/2006,18:30:29,-54.0107818,-38.05488675,4.25,3,38,0,0,0,1000,0
27/03/2006,18:30:59,-54.0107818,-38.05488675,4.25,3,38,0,0,0,1000,0
27/03/2006,18:31:29,-54.0107818,-38.05488675,4,3,38,0,0,0,1000,0
27/03/2006,18:31:59,-54.0107818,-38.05488675,4.25,3,38,0,0,0,1000,0
27/03/2006,18:32:29,-54.0107818,-38.05488675,4,3,38,0,0,0,1000,0
27/03/2006,18:32:59,-54.0107818,-38.05488675,4,3,38,0,0,0,1000,0
27/03/2006,18:33:29,-54.0107818,-38.05488675,4,3,38,0,0,0,1000,0
27/03/2006,18:33:59,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:34:29,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:34:59,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:35:29,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:35:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:36:29,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:36:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:37:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:37:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:38:29,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:38:59,-54.0107818,-38.05488675,4,3,38,0,0,0,1000,0
27/03/2006,18:39:29,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:39:59,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:40:29,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:40:59,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:41:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:41:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:42:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:42:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:43:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:43:59,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:44:29,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:44:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:45:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:45:59,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:46:29,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:46:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:47:29,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:47:59,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:48:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:48:59,-54.0107818,-38.05488675,3.75,3,38,0,0,0,1000,0
27/03/2006,18:49:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
27/03/2006,18:49:59,-54.0107818,-38.05488675,3.25,3,38,0,0,0,1000,0
27/03/2006,18:50:29,-54.0107818,-38.05488675,3.5,3,38,0,0,0,1000,0
